Metric,Value
fs_Hz,23999.9999981801
duration_s,12.0000000009099
numSamples,288000
LAeq_dB,65.0396462064797
LCeq_dB,63.9001287749115
LZeq_dB,66.9050890236123
LAFmax_dB,72.031861805622
LASmax_dB,70.5124701619286
LA10_dB,70.5321507381357
LA50_dB,60.5028181893128
LA90_dB,50.0110552130078
L_63Hz_dB,42.8991009478417
L_125Hz_dB,45.6903425208021
L_250Hz_dB,48.6909897884564
L_500Hz_dB,51.4813620419464
L_1000Hz_dB,54.6823792532619
L_2000Hz_dB,57.6277690372219
L_4000Hz_dB,60.5758996034229
L_8000Hz_dB,63.6360212980671
